Algorithm,Win,Dim,NS,wordsim353,BAT1,BAT2,Bat3,win353
Word2Vec,25,2,1,13.0802,0.025163,0.285714,0.02938,12.2082
Word2Vec,25,2,7,13.0435,0.022627,0.214286,0.030254,12.2053
Word2Vec,25,2,20,13.05,0.031017,0.142857,0.028315,12.185
Word2Vec,25,7,1,12.8822,0.040281,0.214286,0.033563,12.1052
Word2Vec,25,7,7,12.778500000000001,0.011525,0.285714,0.025896,12.0117
Word2Vec,25,7,20,13.1352,0.030755,0.142857,0.035561,12.3628
Word2Vec,25,15,1,12.97,0.031715,0.214286,0.032998,12.0762
Word2Vec,25,15,7,13.013,0.03183,0.285714,0.025944,12.1969
Word2Vec,25,15,20,12.958300000000001,0.022838,0.071429,0.018002,12.1617
Word2Vec,100,2,1,12.948699999999999,0.045067,0.142857,0.038776,12.1829
Word2Vec,100,2,7,13.054499999999999,0.022903,0.214286,0.029635,12.1664
Word2Vec,100,2,20,12.978200000000001,0.046354,0.214286,0.034614,12.1892
Word2Vec,100,7,1,13.0822,0.035774,0.142857,0.025725,12.2554
Word2Vec,100,7,7,12.985199999999999,0.023338,0.142857,0.025359,12.2831
Word2Vec,100,7,20,13.0404,0.024045,0.071429,0.021891,12.1895
Word2Vec,100,15,1,12.8611,0.042366,0.214286,0.032731,12.0378
Word2Vec,100,15,7,13.092400000000001,0.019235,0.142857,0.025403,12.2846
Word2Vec,100,15,20,13.2239,0.019338,0.071429,0.021746,12.3907
Word2Vec,300,2,1,12.8157,0.023542,0.142857,0.021384,11.975900000000001
Word2Vec,300,2,7,12.7666,0.047588,0.071429,0.029798,12.0257
Word2Vec,300,2,20,12.9012,0.009524,0.428571,0.035396,12.0658
Word2Vec,300,7,1,12.772,0.048492,0.285714,0.03865,11.9498
Word2Vec,300,7,7,12.779599999999999,0.033186,0.285714,0.035055,11.9841
Word2Vec,300,7,20,13.0596,0.029502,0.142857,0.025114,12.141499999999999
Word2Vec,300,15,1,12.725900000000001,0.02995,0.0,0.027936,12.127699999999999
Word2Vec,300,15,7,12.9253,0.034668,0.142857,0.03146,12.2627
Word2Vec,300,15,20,12.997700000000002,0.033343,0.071429,0.032719,12.0591
